division_iso_two,topic,keywords[list],query url
BD-F,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,cereals; cereals; sheep; horticulture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=cereals,cereals,sheep,horticulture,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,dairy; dairy; poultry; poultry,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=dairy,dairy,poultry,poultry,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,equipment; production; cooperative; honey,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=equipment,production,cooperative,honey,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,beekeeper; pesticide; animal; breeder,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=beekeeper,pesticide,animal,breeder,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,fish; wheat; plough; vehicle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=fish,wheat,plough,vehicle,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,machinery; subsidy; subsidies; subsidise,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=machinery,subsidy,subsidies,subsidise,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,subsidize; natural fertilizer; chemical fertilizer; fertiliser,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=subsidize,natural%20fertilizer,chemical%20fertilizer,fertiliser,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,seed; potato; tomato; irrigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=seed,potato,tomato,irrigation,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,drip irrigation; drip irrigation; technique; labourer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=drip%20irrigation,drip%20irrigation,technique,labourer,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,"pasture, grazing land; fodder; pest; arid","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=pasture%2C%20grazing%20land,fodder,pest,arid,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,erratic; erratic; management; soil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=erratic,erratic,management,soil,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,marsh; vegetation; drainage; drainage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=marsh,vegetation,drainage,drainage,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,drainage; moderate; organic; dust,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=drainage,moderate,organic,dust,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,storm; sand; summer; summer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=storm,sand,summer,summer,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,summer; winter; winter; autumn,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=summer,winter,winter,autumn,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,autumn; autumn; spring; spring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=autumn,autumn,spring,spring,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,spring; earthquake; hurricane; hurricane,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=spring,earthquake,hurricane,hurricane,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,season; salinity; barley; barley,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=season,salinity,barley,barley,%2Fm%2F02nf_&hl=en-US"
BD-F,Environmental,rice; cotton; cotton; cotton,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=rice,cotton,cotton,cotton,%2Fm%2F02nf_&hl=en-US"
