division_iso_two,topic,keywords[list],query url
BD-G,Infrastructure,অবকাঠামো; সামরিক; মিলিটারি; বিদ্যালয়,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%85%E0%A6%AC%E0%A6%95%E0%A6%BE%E0%A6%A0%E0%A6%BE%E0%A6%AE%E0%A7%8B,%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%B0%E0%A6%BF%E0%A6%95,%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A6%BF%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%BF,%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,স্কুল; হাসপাতাল; হসপিটাল; সেতু,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%81%E0%A6%B2,%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2,%E0%A6%B9%E0%A6%B8%E0%A6%AA%E0%A6%BF%E0%A6%9F%E0%A6%BE%E0%A6%B2,%E0%A6%B8%E0%A7%87%E0%A6%A4%E0%A7%81,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,ব্রিজ; চেকপয়েন্ট; বাস; বিশ্ববিদ্যালয়,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%9C,%E0%A6%9A%E0%A7%87%E0%A6%95%E0%A6%AA%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F,%E0%A6%AC%E0%A6%BE%E0%A6%B8,%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,ইউনিভার্সিটি; বাজার; স্টেশন; ক্যাফে,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%87%E0%A6%89%E0%A6%A8%E0%A6%BF%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF,%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8,%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,রেস্তোরাঁ; রেস্টুরেন্ট; আঙ্গিনা; বন্দর,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%81,%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F,%E0%A6%86%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BF%E0%A6%A8%E0%A6%BE,%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,পোর্ট; বন্দর; পাইপলাইন; সীমান্ত,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%9F,%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%B0,%E0%A6%AA%E0%A6%BE%E0%A6%87%E0%A6%AA%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%A8,%E0%A6%B8%E0%A7%80%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,বর্ডার; মন্ত্রণালয়; বাড়িগুলো; বাড়ি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0,%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B,%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,চিকিৎসাকেন্দ্র; ক্লিনিক; ঔষধালয়; ফার্মেসি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%9A%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A7%8E%E0%A6%B8%E0%A6%BE%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0,%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%95,%E0%A6%94%E0%A6%B7%E0%A6%A7%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,%E0%A6%AB%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,আদালত; কোর্ট; কারাগার; জেল,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%86%E0%A6%A6%E0%A6%BE%E0%A6%B2%E0%A6%A4,%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%9F,%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%B0,%E0%A6%9C%E0%A7%87%E0%A6%B2,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,পুলিশ; বিমানবন্দর; এয়ারপোর্ট; সেনাবাহিনী,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AA%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A6%B6,%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%B0,%E0%A6%8F%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%9F,%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%80,%2Fm%2F02nf_&hl=en-US"
