division_iso_two,topic,keywords[list],query url
BD-G,Political & LawsPolicy,প্রদেশ; গভর্নরেট; জেলা; সরকার,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A7%87%E0%A6%B6,%E0%A6%97%E0%A6%AD%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%B0%E0%A7%87%E0%A6%9F,%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,কর্তৃপক্ষ; স্থানীয়; পরিষদ; মেয়র,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A7%83%E0%A6%AA%E0%A6%95%E0%A7%8D%E0%A6%B7,%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%AF%E0%A6%BC,%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B7%E0%A6%A6,%E0%A6%AE%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,প্রতিনিধি; নির্বাচন; নিয়ম; আইন,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%A7%E0%A6%BF,%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%A8,%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%AE,%E0%A6%86%E0%A6%87%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,নিবন্ধন; নিবন্ধন; তালিকা; প্রশাসন,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%A8%E0%A6%BF%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%A8,%E0%A6%A8%E0%A6%BF%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%A8,%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,সংস্কার; প্রতিবাদ; বিক্ষোভ; প্রদর্শন,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%A6,%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%8B%E0%A6%AD,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,আদেশ; সঙ্কল্প; প্রস্তাব; সমাধান,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%86%E0%A6%A6%E0%A7%87%E0%A6%B6,%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%AC,%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%A7%E0%A6%BE%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,প্রস্তাব; ভোটারগণ; ভোটারবৃন্দ; ভোট,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%AC,%E0%A6%AD%E0%A7%8B%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%97%E0%A6%A3,%E0%A6%AD%E0%A7%8B%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%AC%E0%A7%83%E0%A6%A8%E0%A7%8D%E0%A6%A6,%E0%A6%AD%E0%A7%8B%E0%A6%9F,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,ভোটার; কমিটি; পরিষদ; মন্ত্রী,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AD%E0%A7%8B%E0%A6%9F%E0%A6%BE%E0%A6%B0,%E0%A6%95%E0%A6%AE%E0%A6%BF%E0%A6%9F%E0%A6%BF,%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B7%E0%A6%A6,%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,মন্ত্রণালয়; কর্মকর্তা; প্রার্থী; প্রধানমন্ত্রী,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%BE,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A7%80,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80,%2Fm%2F02nf_&hl=en-US"
BD-G,Political & LawsPolicy,স্পিকার; রাষ্ট্রপতি; সহ-সভাপতি; মুখপাত্র,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0,%E0%A6%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%AA%E0%A6%A4%E0%A6%BF,%E0%A6%B8%E0%A6%B9-%E0%A6%B8%E0%A6%AD%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A6%BF,%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
