division_iso_two,topic,keywords[list],query url
BD-G,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,cereals; cereals; sheep; horticulture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=cereals,cereals,sheep,horticulture,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,dairy; dairy; poultry; poultry,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=dairy,dairy,poultry,poultry,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,equipment; production; cooperative; honey,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=equipment,production,cooperative,honey,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,beekeeper; pesticide; animal; breeder,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=beekeeper,pesticide,animal,breeder,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,fish; wheat; plough; vehicle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=fish,wheat,plough,vehicle,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,machinery; subsidy; subsidies; subsidise,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=machinery,subsidy,subsidies,subsidise,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,subsidize; natural fertilizer; chemical fertilizer; fertiliser,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=subsidize,natural%20fertilizer,chemical%20fertilizer,fertiliser,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,seed; potato; tomato; irrigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=seed,potato,tomato,irrigation,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,drip irrigation; drip irrigation; technique; labourer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=drip%20irrigation,drip%20irrigation,technique,labourer,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,"pasture, grazing land; fodder; pest; arid","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=pasture%2C%20grazing%20land,fodder,pest,arid,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,erratic; erratic; management; soil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=erratic,erratic,management,soil,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,marsh; vegetation; drainage; drainage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=marsh,vegetation,drainage,drainage,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,drainage; moderate; organic; dust,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=drainage,moderate,organic,dust,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,storm; sand; summer; summer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=storm,sand,summer,summer,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,summer; winter; winter; autumn,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=summer,winter,winter,autumn,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,autumn; autumn; spring; spring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=autumn,autumn,spring,spring,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,spring; earthquake; hurricane; hurricane,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=spring,earthquake,hurricane,hurricane,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,season; salinity; barley; barley,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=season,salinity,barley,barley,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,rice; cotton; cotton; cotton,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=rice,cotton,cotton,cotton,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,cotton; date; dates; vegetables,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=cotton,date,dates,vegetables,%2Fm%2F02nf_&hl=en-US"
BD-G,Environmental,man-made; man-made; pollution; polluted,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=man-made,man-made,pollution,polluted,%2Fm%2F02nf_&hl=en-US"
