division_iso_two,topic,keywords[list],query url
BD-G,"Insecurities - Health, Food, Ph",food scarcity; food shortage; eviction; nutrition,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=food%20scarcity,food%20shortage,eviction,nutrition,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",disease; failure; dropout; dropout,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=disease,failure,dropout,dropout,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",inadequate; adequate; availability; lack,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=inadequate,adequate,availability,lack,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",resource; shortage; education; health,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=resource,shortage,education,health,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",employment; health care; necessary care; scattered,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=employment,health%20care,necessary%20care,scattered,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",homeless; IDPs; IDPs; flee,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=homeless,IDPs,IDPs,flee,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",displacement; refugee; displace; displace,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=displacement,refugee,displace,displace,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",migration; evacuate; release; eviction,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=migration,evacuate,release,eviction,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",relocation; expel; expel; deport,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=relocation,expel,expel,deport,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",move; run away from; returnee; returnee,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=move,run%20away%20from,returnee,returnee,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",returnee; exile; civil war; violence,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=returnee,exile,civil%20war,violence,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",conflict; fight; killing; battle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=conflict,fight,killing,battle,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",massacre; massacre; injury; butchery,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=massacre,massacre,injury,butchery,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",explosion; car bomb; corpse; abduction,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=explosion,car%20bomb,corpse,abduction,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",ambush; suicide; suicide bomber; suicide bomber,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=ambush,suicide,suicide%20bomber,suicide%20bomber,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",rape; persecution; assassination; terror,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=rape,persecution,assassination,terror,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",militia; military base; attack; assault,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=militia,military%20base,attack,assault,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",gang; gang; crime; theft,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=gang,gang,crime,theft,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",clash; fighter; mortar; rocket,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=clash,fighter,mortar,rocket,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",siege; siege; blockade; shelling,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=siege,siege,blockade,shelling,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",shelling; shelling; shells; shells,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=shelling,shelling,shells,shells,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",shells; force; bomb; warring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=shells,force,bomb,warring,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",gun; soldiers; rebel; unrest,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=gun,soldiers,rebel,unrest,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",unrest; troubled; insurgent; dead,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=unrest,troubled,insurgent,dead,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",revolutionary; killed; crisis; victim,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=revolutionary,killed,crisis,victim,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",arrest; detention; detainee; prisoner,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=arrest,detention,detainee,prisoner,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",detention centre; indiscriminate; checkpoint; operation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=detention%20centre,indiscriminate,checkpoint,operation,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",operation; torture; elements; execute,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=operation,torture,elements,execute,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",execute; withdrawal; feud; weapons,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=execute,withdrawal,feud,weapons,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",kidnapping; body; ransom; ammunition,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=kidnapping,body,ransom,ammunition,%2Fm%2F02nf_&hl=en-US"
BD-G,"Insecurities - Health, Food, Ph",martyr; martyred; roadside bomb; injured,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=martyr,martyred,roadside%20bomb,injured,%2Fm%2F02nf_&hl=en-US"
